,word,frequency
2433,gab,4
146,achieve,4
6106,waffle,4
2286,flame,4
2608,hairy,4
5559,tap,4
3186,lay,4
5581,technical,4
6078,visa,4
2598,gut,4
3194,league,4
5510,sweep,4
3179,launch,4
5552,tall,4
3243,lick,4
1908,ego,4
1897,editing,4
170,addict,4
29,21,4
2452,gate,4
2634,hardly,4
5550,talker,4
3170,lately,4
2298,flip,4
455,autistic,4
2639,harsh,4
428,atrocity,4
141,accusation,4
5876,unbelievable,4
1951,emotionally,4
3149,label,4
2127,extreme,4
2839,ignorance,4
5765,trailer,4
2758,horrendous,4
5764,trail,4
5915,unfortunate,4
2855,immediate,4
2356,fourth,4
2519,goodbye,4
5754,track,4
5916,unfortunately,4
5742,tour,4
2754,hopeful,4
6229,winter,4
2202,favour,4
2918,indigenous,4
2920,individual,4
2941,info,4
5928,unite,4
2511,goddamn,4
2604,hack,4
333,apartment,4
2209,federal,4
2970,insert,4
5712,tongue,4
5906,uneducated,4
2760,horrid,4
2831,identity,4
276,alternative,4
2172,famous,4
2774,hotpot,4
5871,unattractive,4
2176,fancy,4
2784,http,4
236,aid,4
2767,hostess,4
2560,greek,4
232,agreement,4
2336,foreigner,4
2155,failure,4
6189,whip,4
6213,wild,4
5799,trip,4
2341,fork,4
2548,grant,4
6207,wide,4
2535,grace,4
2812,hurry,4
5794,tribute,4
285,amd,4
2184,farm,4
286,amen,4
2761,horrific,4
2213,feedback,4
2740,homophobic,4
212,affair,4
1975,enemy,4
1999,entirely,4
6012,vapid,4
390,arrogant,4
398,asap,4
2478,genuinely,4
1982,english,4
5633,thief,4
5630,therefore,4
3128,kinda,4
2477,genuine,4
5627,theorist,4
2653,headline,4
3091,joy,4
2648,hatred,4
3131,king,4
5625,theme,4
5621,thanks,4
414,asset,4
2646,hater,4
5608,terror,4
6108,waist,4
1961,empowerment,4
1960,empower,4
3148,la,4
2660,healthy,4
2388,frog,4
2738,homeless,4
3029,invent,4
2508,goat,4
5692,tit,4
2218,feign,4
5947,unreal,4
354,apple,4
2585,guard,4
5976,upside,4
6240,witness,4
3026,invade,4
3028,invasion,4
2708,hindu,4
6248,wonderful,4
2251,filthy,4
5982,urge,4
6249,wood,4
3053,islam,4
2686,hero,4
2020,equivalent,4
366,ar,4
2682,hence,4
2174,fanatic,4
197,advantage,4
2670,heavy,4
2666,heat,4
1884,eater,4
3408,manus,4
502,baked,4
3920,owe,4
3981,particularly,4
4923,semi,4
3962,paranoid,4
3939,pakistani,4
3937,painting,4
3922,oxygen,4
1881,eastern,4
5203,soft,4
3903,outsider,4
847,cabbage,4
1505,dealer,4
4954,session,4
1514,decade,4
4968,sexual,4
887,cap,4
890,capital,4
3988,passenger,4
892,capitalism,4
1445,current,4
4893,search,4
4013,peaceful,4
4890,se,4
4883,script,4
1430,culprit,4
909,careful,4
4054,personally,4
4075,physical,4
4858,schedule,4
1409,crowd,4
4854,scary,4
1398,criticize,4
831,bust,4
1525,deconstruction,4
3855,openly,4
5080,sir,4
3630,motherfucker,4
5175,snap,4
5161,smell,4
1636,device,4
1633,develop,4
5150,slowly,4
1620,despite,4
5143,slogan,4
737,boundary,4
3712,negate,4
1611,design,4
1596,depth,4
5091,sized,4
5083,sissy,4
770,breath,4
1530,deeply,4
1577,demonstrate,4
3800,oath,4
5047,sigh,4
790,brown,4
5042,sicken,4
3827,offender,4
5032,showdown,4
1551,delay,4
5029,shove,4
800,buddy,4
5015,shocking,4
5006,ship,4
1537,defense,4
4983,shape,4
1396,critical,4
1395,critic,4
1391,crisis,4
4382,pumpkin,4
4704,rhetoric,4
4265,presidential,4
1045,citizenship,4
4280,pride,4
4665,respond,4
1257,constant,4
4641,research,4
4315,profile,4
4325,progressive,4
4638,requirement,4
1236,connect,4
4636,request,4
1222,confident,4
1081,clip,4
1203,concern,4
4259,presence,4
1196,computer,4
4409,q,4
4411,qualify,4
1095,clue,4
4416,queer,4
4571,regularly,4
4563,regardless,4
1118,collapse,4
4519,recognize,4
4455,random,4
1148,comfortable,4
1136,coloured,4
4488,reading,4
1139,combination,4
1028,chop,4
4250,pregnant,4
4829,sasquatch,4
1328,cough,4
945,cell,4
4808,salmon,4
954,cereal,4
4803,safety,4
4785,runway,4
1357,cracker,4
968,championship,4
4772,row,4
4161,pole,4
4766,rough,4
1346,cover,4
4750,rock,4
989,chat,4
4743,roast,4
1326,costume,4
1288,conversation,4
996,cheer,4
1322,corruption,4
4738,riveting,4
4730,riot,4
4728,ring,4
4217,poultry,4
1308,copy,4
1306,cop,4
4218,pound,4
4223,poverty,4
1013,chill,4
1018,chink,4
4228,pr,4
1291,conversion,4
5195,socialist,4
2421,funding,4
3373,mail,4
578,beg,4
511,banana,4
635,bind,4
1728,disgusted,4
1766,divide,4
1787,donate,4
1855,dumbass,4
5351,steak,4
5223,somewhere,4
5308,spouse,4
3270,lion,4
5232,sorrow,4
5360,sticker,4
580,beginning,4
1813,drain,4
576,beer,4
1857,dump,4
5393,stress,4
1793,doorbell,4
1809,downtime,4
5281,spice,4
3301,logical,4
3539,min,4
3546,minimum,4
3591,moist,4
1748,disrespectful,4
5294,spit,4
3511,method,4
539,baseball,4
647,bitching,4
1873,ear,4
659,blade,4
569,beauty,4
1776,dodge,4
1822,dread,4
3369,magazine,4
3422,marketing,4
3331,lovely,4
3531,mile,4
1777,dodger,4
660,blah,4
5251,spanish,4
1701,disaster,4
1816,dramatic,4
641,biscuit,4
6081,vision,3
4215,potential,3
3351,lyric,3
3350,lynching,3
3205,lecture,3
2612,halfway,3
4220,pour,3
4273,prevent,3
5384,strap,3
5536,tactic,3
5383,stranger,3
4705,rhyme,3
5539,tail,3
3334,lowlife,3
4243,predict,3
4235,prawn,3
4234,praise,3
4707,rib,3
2603,habit,3
6064,violate,3
5367,stir,3
5365,stinky,3
3352,m,3
3055,islamist,3
4210,poster,3
2626,happiness,3
5996,v,3
4157,poison,3
3402,manipulate,3
4484,react,3
4154,podcast,3
5330,stair,3
4152,po,3
4788,russian,3
4791,rusty,3
4146,plenty,3
4144,pleasure,3
5592,temple,3
2683,herb,3
4806,salary,3
4139,playlist,3
5989,user,3
5987,useful,3
4138,playing,3
3415,march,3
4160,poke,3
3399,mandate,3
2659,healthcare,3
4184,poorly,3
6063,vindictive,3
4739,rn,3
5571,taxis,3
4195,porno,3
2580,growth,3
2635,harm,3
6044,vicious,3
6043,vice,3
3384,making,3
6003,valid,3
2644,hated,3
6028,venue,3
4759,root,3
4762,rot,3
6021,veggie,3
4763,rotation,3
4764,rotten,3
6014,variety,3
4275,previous,3
4664,respectively,3
2579,grown,3
4278,priceless,3
2474,genocide,3
2476,gentleman,3
4529,recruit,3
4532,recycle,3
4548,refine,3
4423,quiet,3
4554,refrain,3
5440,sucker,3
2490,ginger,3
5501,swan,3
4415,queen,3
5509,swedish,3
5437,successful,3
5435,succeed,3
3290,living,3
4582,related,3
4402,pursue,3
4398,purely,3
2504,glove,3
4584,relationship,3
4396,purchase,3
6263,worshipper,3
2469,generally,3
5453,suicide,3
4502,recall,3
2428,furry,3
3257,likeable,3
6313,zionist,3
3262,limbo,3
3263,limit,3
2434,gag,3
4501,rebuild,3
4466,rarely,3
4465,rare,3
4504,recap,3
4513,reckon,3
2444,gap,3
4456,range,3
6274,writer,3
2449,gas,3
5486,surprising,3
4512,reckless,3
6269,wrap,3
2453,gather,3
4444,radio,3
4588,relax,3
4383,pun,3
4381,pump,3
6178,whack,3
4314,professor,3
4313,professional,3
4639,rescue,3
6182,wheat,3
4310,production,3
4309,product,3
3311,loo,3
4300,procedure,3
4656,resolve,3
2569,grit,3
6201,whoop,3
4659,resource,3
3219,leicester,3
4814,salute,3
6154,weather,3
4288,prison,3
4284,principle,3
4281,primary,3
3213,legally,3
6132,warrior,3
5531,syrup,3
2552,grateful,3
2509,gob,3
2523,gook,3
4377,puke,3
4372,publicly,3
4596,rely,3
4369,pub,3
3296,locate,3
4602,reminder,3
6221,wind,3
4357,proudly,3
5523,sympathizer,3
4604,remotely,3
6206,wicket,3
6216,willing,3
4632,republican,3
2527,gorgeous,3
3297,location,3
6214,wildlife,3
2533,governor,3
6208,widely,3
3307,lonely,3
4323,progress,3
4813,salty,3
3421,market,3
4818,sample,3
3557,miserable,3
5058,silver,3
2896,incite,3
5066,simpson,3
5072,sing,3
2908,incredible,3
5243,south,3
2912,independent,3
3770,nose,3
3767,normally,3
3759,nonce,3
5054,silence,3
2942,inform,3
3754,noise,3
2950,ingredient,3
2959,injure,3
2961,injustice,3
3750,nine,3
3577,moan,3
2967,insanity,3
5101,skinny,3
5055,silent,3
2884,impression,3
5121,slavery,3
5247,space,3
5773,translate,3
5769,traitor,3
5003,shift,3
2847,illiterate,3
5010,shite,3
3103,junk,3
5018,shooter,3
2851,image,3
3102,junior,3
5762,tragedy,3
2881,impossible,3
5760,traffic,3
5759,traditional,3
5645,thoroughly,3
5033,shower,3
3543,mindset,3
2877,import,3
5039,sibling,3
3094,judging,3
5245,soy,3
5659,throat,3
3735,newly,3
2714,hispanic,3
3601,monarchy,3
3018,interval,3
3655,murderer,3
3022,intolerant,3
5162,smelly,3
3027,invader,3
5167,smoking,3
5174,snake,3
3031,invest,3
3032,investigate,3
3033,investigation,3
5220,sometime,3
5188,snowflake,3
3635,motivation,3
5211,solve,3
5192,soccer,3
3615,mood,3
3049,irrespective,3
3051,irritate,3
3052,isis,3
5198,socially,3
3063,jacket,3
5685,tiny,3
5122,slay,3
3076,ji,3
2975,insist,3
5710,ton,3
3728,net,3
3724,nerve,3
2983,instantly,3
5135,slight,3
2986,instinct,3
2990,insufferable,3
5138,slip,3
5699,toddler,3
3699,nauru,3
3580,mobile,3
2994,integrity,3
5145,sloppy,3
3704,nearby,3
3590,modesty,3
3066,jam,3
2998,intelligence,3
3001,intense,3
3006,intention,3
5774,translation,3
3530,migration,3
2835,idiotic,3
4055,personnel,3
2750,hoop,3
4856,scenario,3
5925,union,3
4857,scene,3
3432,mash,3
5307,spotty,3
4861,scholarship,3
4061,pet,3
2756,horde,3
3444,material,3
2747,honour,3
4874,scramble,3
4875,scrape,3
4045,permit,3
5303,spoon,3
4878,screech,3
5300,sponsor,3
2763,horror,3
5297,split,3
5903,underwear,3
4853,scared,3
4093,pill,3
3854,opening,3
5962,unturned,3
2715,historic,3
4131,platform,3
5977,upstairs,3
4821,sanctuary,3
4822,sand,3
3417,marge,3
4827,sane,3
5963,unusual,3
5660,throughout,3
4116,pizza,3
4098,pin,3
4114,pity,3
4836,sauerkraut,3
4838,savage,3
5315,squad,3
3157,lakh,3
5309,spout,3
5930,universe,3
5929,unity,3
4848,scale,3
3459,meaning,3
4024,pencil,3
3145,korean,3
4957,settle,3
2801,humility,3
2803,humour,3
4951,server,3
4953,serving,3
3899,outraged,3
3898,outrage,3
3502,merit,3
5792,trial,3
5258,spawn,3
3859,opponent,3
5296,spittoon,3
5634,thigh,3
4969,sexually,3
3516,mi,3
3519,mid,3
5778,trashy,3
3857,operation,3
3521,middle,3
3526,might,3
5776,trap,3
4937,sentiment,3
5260,speaker,3
3915,overrate,3
3934,painful,3
4011,pc,3
4007,pause,3
5295,spiteful,3
3472,medical,3
3140,knob,3
4907,secularism,3
3983,partner,3
5855,typo,3
3480,melt,3
2778,housemate,3
2781,however,3
3969,parking,3
5282,spicy,3
4924,semifinal,3
3491,mentality,3
4926,semitic,3
5279,spew,3
4928,senior,3
3936,paint,3
3912,overload,3
3158,lamb,3
1216,condone,3
1680,dinosaur,3
1062,classic,3
1261,construct,3
575,beehive,3
1111,coin,3
85,70,3
413,assert,3
1683,diplomatic,3
412,assembly,3
2101,expensive,3
705,bomber,3
1582,deny,3
489,backwards,3
561,beaner,3
2057,everyday,3
1428,cuban,3
1870,dynasty,3
1593,depressed,3
1070,cleaning,3
1312,corn,3
710,boo,3
500,bait,3
2307,flop,3
585,behead,3
2044,eu,3
2065,exact,3
1905,efficiently,3
68,500,3
1145,comedy,3
1916,elderly,3
304,anime,3
420,associate,3
307,anniversary,3
2111,exploit,3
2110,explode,3
916,carrot,3
1115,cole,3
2037,estimate,3
787,broken,3
190,adoption,3
988,chase,3
419,assistance,3
2105,expert,3
594,belligerence,3
2041,ethic,3
2337,forest,3
2042,ethnic,3
1894,edge,3
1690,dirt,3
504,balance,3
402,ashamed,3
2353,foul,3
1099,coat,3
796,bubble,3
1283,controversial,3
1300,cooked,3
1635,development,3
735,bounce,3
814,bum,3
1652,dickhead,3
111,abortion,3
2256,financial,3
2255,finance,3
363,approach,3
1182,complaint,3
1090,clothe,3
962,chainsaw,3
1286,convenient,3
2249,film,3
365,approve,3
905,cardboard,3
121,abusive,3
903,caravan,3
2246,file,3
519,bank,3
1835,drool,3
795,brutally,3
1601,derogatory,3
1665,difficult,3
203,advice,3
2067,exam,3
545,basis,3
2228,fence,3
338,apologise,3
2095,expand,3
1858,dumpling,3
1192,comprise,3
1419,crumble,3
1795,dope,3
341,apology,3
133,accordingly,3
444,audience,3
2289,flavour,3
1189,compliment,3
99,99,3
2074,exception,3
1660,diet,3
1846,duck,3
389,arrogance,3
351,appeasement,3
216,afghan,3
157,active,3
1774,document,3
739,bow,3
294,anal,3
1719,discrimination,3
31,22,3
1231,congratulate,3
34,25,3
869,campground,3
1120,colleague,3
2125,extraordinary,3
459,automatically,3
1969,encouraging,3
1219,conference,3
38,28,3
274,alt,3
257,allegation,3
1718,discriminate,3
927,casually,3
1042,circle,3
873,campus,3
671,bleed,3
931,category,3
246,alarm,3
1449,curtain,3
247,album,3
456,auto,3
1502,deadly,3
632,billionaire,3
180,adjective,3
771,breathe,3
1123,collective,3
1758,district,3
1012,chili,3
768,breast,3
767,breaking,3
1721,discussion,3
1945,emergency,3
627,bigotry,3
1959,employment,3
1354,crab,3
2405,fuckhead,3
1943,embrace,3
1942,embarrassment,3
623,bid,3
2382,friendly,3
1501,deadbeat,3
1453,custom,3
2137,fa,3
262,alliance,3
1366,craving,3
1051,civilization,3
2025,erection,3
2140,fabulous,3
604,bengal,3
468,await,3
601,bend,3
1129,colon,3
1548,degenerate,3
1539,define,3
1549,degree,3
62,47,3
668,blatantly,3
260,allegedly,3
1248,conserve,3
1053,civilized,3
1473,damage,3
755,brainwash,3
2354,founder,3
1978,enforcement,3
240,aircraft,3
1932,elite,3
162,actor,3
2016,equality,3
2118,expression,3
757,brand,3
1487,darling,3
163,actress,3
610,besides,3
1715,discover,3
881,candy,3
264,ally,3
3355,machete,2
1303,coon,2
4222,pouting,2
4221,pout,2
5030,shovel,2
798,bucket,2
3455,mc,2
778,bright,2
5034,shred,2
1333,counterpart,2
4219,pounding,2
438,attract,2
4229,practical,2
1749,disrupt,2
1293,convict,2
1292,convert,2
4227,powerful,2
1808,download,2
1752,distance,2
437,attorney,2
4176,pompous,2
5027,shoulder,2
5643,thirsty,2
3366,madness,2
376,arise,2
421,association,2
1798,dose,2
1775,documentary,2
3436,massacre,2
1763,diversity,2
4205,possess,2
5614,testosterone,2
3411,map,2
1320,correctness,2
3434,mask,2
417,assimilate,2
1323,cos,2
418,assist,2
401,ash,2
5022,shore,2
3419,marinate,2
4201,pose,2
1771,docker,2
1769,dj,2
5052,significantly,2
5048,sight,2
5603,terminal,2
3427,marxist,2
3406,mansion,2
1783,dolly,2
5596,tend,2
1762,diverse,2
1797,dorm,2
5631,thereof,2
5060,similarly,2
432,attain,2
5059,similar,2
3383,makeup,2
5594,tempt,2
3385,malaysian,2
5628,theory,2
3390,mam,2
1761,dive,2
3441,mat,2
406,asking,2
3393,mammoth,2
1790,donkey,2
1789,dong,2
3396,management,2
3439,master,2
1314,corny,2
1791,donut,2
4270,pretentious,2
1810,dozen,2
297,ancient,2
300,anger,2
4311,productive,2
5768,training,2
828,bury,2
1245,consequence,2
5772,transition,2
1928,elf,2
1921,electricity,2
296,anchor,2
1933,elsewhere,2
3187,layer,2
1935,em,2
836,butchered,2
4966,sexism,2
4972,shade,2
1920,electric,2
1287,conveniently,2
5753,toy,2
5746,tourney,2
1903,eff,2
3227,lesbian,2
823,bureaucracy,2
5750,tower,2
3222,lend,2
827,burrito,2
1919,electorate,2
311,annoyed,2
4974,shag,2
5758,tradition,2
5761,trafficking,2
3210,legacy,2
305,ankle,2
1936,email,2
666,blast,2
4320,prognosis,2
5811,truck,2
3150,labour,2
1957,employee,2
1237,connection,2
1966,enact,2
1967,encounter,2
3136,km,2
269,aloud,2
4321,program,2
1974,endure,2
1977,enforce,2
3125,killing,2
1981,engaging,2
4348,prospect,2
3121,kidnapping,2
1956,employ,2
5802,triumph,2
850,cage,2
1954,empire,2
848,cabinet,2
842,buying,2
280,amazed,2
1946,eminent,2
4330,prominent,2
5793,tribe,2
840,button,2
1940,embarrassing,2
4961,seven,2
3173,latinos,2
5787,treaty,2
5784,treasure,2
4964,sewer,2
5745,tournament,2
320,ant,2
1259,constituency,2
350,appease,2
4262,presentation,2
4263,presidency,2
5007,shiraz,2
1839,drown,2
3309,longer,2
1842,drunken,2
5004,shine,2
340,apologize,2
3302,logically,2
1845,dual,2
344,apparent,2
1850,duke,2
343,apparel,2
342,appalling,2
816,bump,2
355,application,2
4258,prepared,2
1284,controversy,2
813,bullying,2
4254,premise,2
1823,dreadful,2
360,appreciation,2
5013,shocked,2
4251,prejudice,2
5014,shocker,2
5673,tier,2
362,apprenticeship,2
809,bullet,2
3336,loyalty,2
1814,drake,2
807,building,2
5703,toilet,2
5001,shield,2
321,anthem,2
3253,lighten,2
3260,liking,2
1878,ease,2
5726,tortoise,2
1885,eating,2
3255,lightly,2
325,antisocial,2
324,antisemitic,2
4274,preview,2
5731,toss,2
3248,lifelong,2
4292,private,2
1891,economist,2
3242,license,2
4293,privilege,2
4992,sheer,2
1875,earn,2
3264,limited,2
4283,primitive,2
3266,lineup,2
3267,ling,2
1264,consume,2
1868,dye,2
5720,toothpaste,2
1266,contain,2
5717,toot,2
1864,dust,2
331,anywhere,2
3277,listening,2
4279,prick,2
1862,duo,2
5711,tone,2
443,audibly,2
5527,syndrome,2
3470,media,2
596,belly,2
702,bold,2
3799,ny,2
3796,nutrition,2
1570,democrat,2
4010,payment,2
1572,demographic,2
1443,curl,2
1442,curious,2
1441,cure,2
3788,nuke,2
5185,snore,2
5183,sniff,2
5181,sneaky,2
1573,demolition,2
3781,nowadays,2
5331,stake,2
5329,stain,2
5317,squeak,2
5189,snp,2
3822,ocean,2
3821,occur,2
5320,squirm,2
3819,occasion,2
4001,patriotic,2
1559,delicate,2
3816,obtain,2
5322,stab,2
5324,stable,2
3812,observe,2
5191,sober,2
3808,obnoxious,2
3807,oblivious,2
3806,obligation,2
3805,objectionable,2
4019,peel,2
4020,peep,2
581,behalf,2
4023,penalty,2
717,boost,2
5382,strange,2
4047,perpetrator,2
1600,deride,2
3730,neutral,2
3729,network,2
549,bastion,2
3726,ness,2
3722,nepal,2
3720,neighbour,2
1604,descent,2
723,bored,2
1420,crunch,2
3716,negotiation,2
1610,deserved,2
4044,permission,2
554,batting,2
3743,nickname,2
1438,curb,2
5353,steam,2
5177,snatch,2
3769,northern,2
1579,denial,2
5357,stereotype,2
3765,noodle,2
5361,stiff,2
1592,depress,2
3756,nominate,2
706,bond,2
4035,perfection,2
3751,ninja,2
3749,nightmare,2
5370,stoke,2
4000,patriot,2
5314,spy,2
4174,pomegranate,2
5255,spastic,2
3905,ovary,2
686,bloomer,2
3965,pardon,2
634,bin,2
5266,specifically,2
1466,daft,2
5212,som,2
689,blueberry,2
3890,outcome,2
3972,parody,2
5272,speed,2
3886,orthodox,2
5274,spelling,2
5275,spelt,2
3883,original,2
679,blog,2
646,bitchiness,2
1550,deity,2
3957,parade,2
665,blanket,2
1479,danger,2
3944,palestinian,2
1481,dangerously,2
3930,pagan,2
3929,paddle,2
3945,palm,2
3946,pan,2
3926,package,2
3949,panel,2
3921,owner,2
670,bleach,2
672,blend,2
5222,somewhat,2
3956,par,2
5208,solid,2
1461,cynical,2
626,bigot,2
3976,partially,2
614,beta,2
612,bestiality,2
5298,spoil,2
3850,ooh,2
1534,defeat,2
3848,onion,2
5299,spoiler,2
5301,sponsorship,2
5302,spooky,2
3989,passionate,2
3991,password,2
1452,custard,2
605,bengali,2
1451,cuss,2
3995,patch,2
693,bluster,2
1457,cutlet,2
1526,decrease,2
5204,soggy,2
3876,organisation,2
3875,ordinance,2
5283,spider,2
5206,soldier,2
5285,spill,2
3980,particular,2
3866,oppression,2
5200,sociopath,2
1513,debt,2
3864,opposition,2
3863,opposite,2
1515,decay,2
5201,sock,2
1517,decency,2
534,barrel,2
5394,stressful,2
3710,needle,2
492,baddie,2
3576,mo,2
5491,survivor,2
3574,mixed,2
488,backward,2
5494,suspension,2
4118,plague,2
3567,mission,2
5497,suspiciously,2
1384,cricketer,2
485,background,2
3559,misfortune,2
4126,plantation,2
5506,swearing,2
5507,sweat,2
1696,disappear,2
1685,dire,2
5489,surround,2
3708,nee,2
1682,dip,2
5468,superb,2
5469,superior,2
743,bowling,2
3603,monger,2
1397,criticism,2
4106,pis,2
1394,criterion,2
4108,pissed,2
5478,supremacist,2
4110,pistol,2
1677,ding,2
4113,pitcher,2
3588,moderate,2
494,badly,2
3584,mode,2
1699,disappointing,2
3549,minor,2
1379,creepy,2
5512,sweetheart,2
3501,meringue,2
5551,talking,2
5554,tan,2
1733,dishonest,2
3487,memory,2
451,author,2
4165,polish,2
449,austerity,2
3482,melted,2
3481,meltdown,2
5074,singing,2
1338,county,2
5071,sincerely,2
3474,mediocre,2
4173,pollution,2
3506,messy,2
3508,metaphorically,2
458,automatic,2
3119,kidding,2
5513,sweetie,2
5107,sky,2
1703,disbelief,2
5515,swim,2
5105,skull,2
471,aware,2
3525,midway,2
1359,crackling,2
3524,midterm,2
758,brat,2
3517,micro,2
461,available,2
1717,discretionary,2
5540,tailgate,2
5126,sleeping,2
4100,ping,2
4097,pimp,2
5424,sub,2
5408,structure,2
529,barbecue,2
3681,narcissism,2
5410,strut,2
5411,stuck,2
5412,stud,2
5414,studio,2
4068,philosophy,2
1637,devil,2
5417,stunning,2
523,bankruptcy,2
5420,stupidity,2
4070,phony,2
3666,mutual,2
736,bouncer,2
3684,narrative,2
4065,phase,2
530,bare,2
3697,naturally,2
3707,neck,2
729,botch,2
1619,despised,2
5398,strictly,2
1625,destruction,2
1626,destructive,2
1627,detail,2
1632,devastate,2
1628,detect,2
1415,cruel,2
3693,nationality,2
3691,nationalism,2
4063,petrol,2
1631,determine,2
522,bankrupt,2
4072,photographer,2
5461,sunburnt,2
3661,musical,2
3633,motivate,2
3632,motion,2
4089,pier,2
5450,sugary,2
512,band,2
3628,mot,2
5452,suggestion,2
1403,crook,2
3625,mosquito,2
4091,pile,2
4092,pilgrim,2
5133,slick,2
5457,summer,2
3619,moreover,2
5131,slice,2
5448,sugar,2
1404,crooked,2
514,banger,2
521,banking,2
4073,photography,2
5427,submarine,2
1412,crucify,2
3657,murderous,2
1411,crucial,2
1410,crown,2
3648,mug,2
1405,crop,2
1646,dialect,2
5438,successfully,2
5137,slimy,2
4083,pickle,2
742,bowler,2
515,bangladesh,2
3120,kidnap,2
1472,dam,2
5820,truthful,2
2562,gremlin,2
6033,verdict,2
2810,hunting,2
81,68,2
2144,facilitate,2
2143,facial,2
4633,repulsive,2
2566,grin,2
4845,saying,2
6029,ver,2
2818,hypocritical,2
79,65,2
2820,i,2
78,64,2
2333,forcefully,2
2549,grape,2
4850,scandal,2
986,charming,2
76,60,2
6023,veil,2
4753,rogue,2
74,59,2
2133,eyeball,2
6019,veg,2
2343,format,2
924,cast,2
2129,extremism,2
2128,extremely,2
2551,grass,2
2330,forbid,2
2808,hunt,2
1126,collector,2
6209,widespread,2
2773,hotel,2
6198,whittle,2
4523,reconsider,2
2168,fame,2
4522,reconciliation,2
939,cbc,2
2583,guarantee,2
4517,recognition,2
2785,hub,2
2786,hubby,2
2582,gruyere,2
4515,reclaim,2
937,cave,2
2581,grubby,2
1121,collect,2
6048,victorian,2
4627,reprehensible,2
4629,representation,2
4507,recently,2
4506,recent,2
2799,humiliating,2
2327,foolish,2
6040,veto,2
6205,wicked,2
83,6th,2
985,charm,2
6038,vet,2
2836,idol,2
2547,grandson,2
979,chapter,2
4464,rapper,2
2537,gracious,2
4747,robert,2
70,51,2
200,advertise,2
2349,forth,2
4746,rob,2
4647,resettlement,2
5986,used,2
2352,foster,2
2882,impress,2
2099,expectation,2
2098,expectancy,2
1153,commendable,2
2887,inappropriate,2
6225,winger,2
63,48,2
4462,rapidly,2
1156,commission,2
5979,urban,2
4460,rap,2
4459,rant,2
2094,exodus,2
4650,resident,2
2093,exit,2
2521,goody,2
61,46,2
4457,ranger,2
1159,commitment,2
2874,implement,2
2873,impersonate,2
2346,formula,2
4748,robot,2
919,cartel,2
4642,reservation,2
1141,combo,2
186,admire,2
6011,vanity,2
2119,extend,2
2845,illegally,2
6010,vanilla,2
4749,robust,2
6009,vanessa,2
2849,illusion,2
2543,grandchild,2
2542,grand,2
1144,comedian,2
2541,grammar,2
2540,graduate,2
2854,immature,2
4478,rattlesnake,2
915,carpet,2
4475,ration,2
4864,scientist,2
1147,comfort,2
2865,impartiality,2
1149,comical,2
192,adore,2
194,adultery,2
5993,ut,2
160,activist,2
4349,prosper,2
6242,woeful,2
6120,wannabe,2
4574,reign,2
4795,sack,2
4796,sacred,2
4797,sacrifice,2
4607,rename,2
6125,warehouse,2
4567,register,2
2285,flamboyant,2
2236,fiddle,2
2692,hideous,2
959,certify,2
2694,higher,2
129,accidentally,2
4802,safeguard,2
2621,handy,2
6118,wallet,2
131,accomplish,2
4562,regard,2
955,ceremony,2
2704,hill,2
4805,salad,2
2706,hind,2
4559,refund,2
6173,west,2
6110,waiting,2
953,century,2
2710,hindus,2
6175,wet,2
4794,sabotage,2
2243,fighter,2
4576,reissue,2
2629,harassment,2
1082,clipboard,2
2270,firm,2
967,champion,2
6157,website,2
6155,weber,2
4781,ruling,2
4599,remark,2
4786,rural,2
4591,relevant,2
4780,ruler,2
2652,headbutt,2
1078,cliff,2
1088,closed,2
2655,headquarters,2
4585,relative,2
1089,closet,2
2663,hearing,2
4583,relation,2
2665,heartless,2
2250,filth,2
1075,clever,2
116,absorb,2
4579,rejoice,2
2673,heinous,2
101,abandon,2
6170,welfare,2
1092,clout,2
2711,hip,2
4609,renege,2
941,cease,2
2188,fascism,2
6184,wherever,2
150,acorn,2
153,acting,2
2748,hook,2
2749,hooker,2
947,cemetery,2
946,celtic,2
2752,hop,2
2302,flock,2
2200,favor,2
2199,faux,2
155,activate,2
977,chaotic,2
944,celebrity,2
4555,refreshing,2
2186,fart,2
2309,flow,2
2185,farmer,2
6072,virgin,2
943,celebration,2
4528,recovery,2
4620,replay,2
6069,violently,2
4527,recover,2
6192,whisper,2
2310,flower,2
91,87,2
4828,sanity,2
4538,redhead,2
4539,redneck,2
2211,fee,2
6086,vocabulary,2
4774,rubbish,2
6105,wafer,2
2716,historical,2
2617,handful,2
2720,ho,2
2721,hoard,2
2615,hamburger,2
4812,salt,2
2293,flex,2
1105,cocky,2
949,center,2
4612,rep,2
147,achievement,2
95,92,2
148,acid,2
4546,referendum,2
2296,flight,2
2731,hollandaise,2
6093,volume,2
4544,referee,2
2735,hombre,2
6183,wheel,2
2297,fling,2
2607,haired,2
2299,flirt,2
2605,hacker,2
2739,homo,2
2901,incoherent,2
2348,fort,2
2466,gene,2
2988,instruction,2
23,19,2
2458,gc,2
5885,unconscionable,2
4391,punk,2
1034,chuck,2
4390,punjab,2
3024,introduce,2
4389,punishment,2
1205,concert,2
4684,retire,2
6293,yellow,2
2401,ft,2
2403,fucked,2
6294,yemeni,2
2033,essential,2
237,aide,2
1207,conclusion,2
5874,unbeaten,2
2450,gasp,2
5873,unbearable,2
3037,invoke,2
5872,unaware,2
238,aim,2
